"marker","cluster","BvsT1","T1vsT2","B_RvsNR","T1_RvsNR","T2_RvsNR","d_T1_B_RvsNR","d_T2_B_RvsNR","d_T2_T1_RvsNR","mean_d_T1_B_R","mean_d_T1_B_NR","mean_d_T2_B_R","mean_d_T2_B_NR","mean_d_T2_T1_R","mean_d_T2_T1_NR"
"ARG1","B","0.309","0.557","0.082","0.328","0.352","0.195","1","0.762","0.031","-0.111","0.031","0.051","-0.01","0.053"
"ARG1","Baso","0.014","0.557","0.13","0.958","0.257","0.14","1","0.257","0.025","-0.19","-0.109","-0.041","-0.174","0.039"
"ARG1","CD4_T","0.098","0.126","0.399","0.37","0.61","0.879","0.914","0.915","-0.063","-0.047","0.007","-0.003","0.045","0.038"
"ARG1","CD8_T","0.207","0.922","0.383","0.646","0.762","0.442","1","0.61","0.006","-0.063","-0.009","-0.011","-0.013","0.027"
"ARG1","cDC1","0.004","0.922","0.442","0.46","0.352","0.958","0.914","0.914","-0.125","-0.148","-0.142","-0.111","-0.002","0.021"
"ARG1","cDC2","0.404","0.16","0.328","0.574","0.762","0.082","0.352","0.476","0.051","-0.043","-0.061","-0.063","-0.137","-0.046"
"ARG1","DNT","0.669","0.129","0.743","0.827","0.413","0.827","0.413","0.413","0.219","-0.083","-0.151","-0.043","-0.475","-0.036"
"ARG1","DPT","0.174","0.695","0.442","0.442","0.476","0.721","0.61","0.61","-0.059","-0.06","0.003","0.04","0.034","0.066"
"ARG1","GMDSC","0.934","0.02","0.441","0.377","0.069","0.679","0.905","0.762","-0.007","-0.024","-0.07","-0.13","-0.1","-0.161"
"ARG1","MMDSC_I","0.535","0.02","0.506","0.827","0.476","0.51","0.762","0.73","0.13","0.014","-0.014","-0.006","-0.173","-0.135"
"ARG1","MMDSC_II","0.588","0.846","0.898","0.51","0.352","0.943","0.886","0.914","0.031","0.042","-0.019","0.009","-0.02","0.115"
"ARG1","MMDSC_III","0.378","0.922","0.195","0.442","0.352","0.383","0.914","0.762","0.082","0.037","0.065","0.185","-0.023","0.021"
"ARG1","Mono_I","0.353","0.232","0.879","0.916","0.171","0.646","0.352","0.114","0.107","0.112","-0.055","0.156","-0.217","-0.031"
"ARG1","Mono_II","0.379","1","0.827","0.234","1","0.827","0.914","0.257","-0.342","0.183","0.136","0.134","0.552","-0.245"
"ARG1","Mono_III","0.644","0.16","0.959","0.635","0.762","0.879","0.914","0.762","0.105","0.056","-0.027","0.02","-0.19","-0.111"
"ARG1","Neu","1","0.432","0.442","0.506","0.352","0.082","0.762","0.114","0.116","-0.091","-0.071","0.1","-0.225","0.067"
"ARG1","NK_like","0.121","0.557","0.506","0.646","0.762","0.383","1","0.352","-0.014","-0.073","-0.025","-0.011","-0.036","0.038"
"ARG1","pDC","0.453","0.557","0.279","0.442","0.476","1","0.61","0.914","-0.008","-0.002","0.001","-0.063","-0.047","-0.033"
"ARG1","UA","0.378","0.492","0.13","0.635","0.257","0.195","0.61","0.914","0.04","-0.179","-0.042","-0.148","-0.112","-0.012"
"CCR2","B","0.066","0.202","0.646","1","0.762","0.574","0.476","0.114","0.063","0.017","0.128","0.04","0.056","0.008"
"CCR2","Baso","0.381","0.01","0.506","0.104","0.114","0.037","0.114","0.476","0.178","-0.033","0.091","-0.195","-0.126","-0.177"
"CCR2","CD4_T","0.011","0.359","0.279","0.879","0.914","0.045","0.476","1","0.185","0.061","0.219","0.068","0.016","0.041"
"CCR2","CD8_T","0.207","0.286","0.506","0.879","1","0.646","0.476","0.114","0.056","0.027","0.063","0.046","0.001","0.043"
"CCR2","cDC1","0.579","0.193","0.328","0.574","0.476","0.646","0.257","1","0.26","-0.072","0.296","-0.093","-0.073","-0.053"
"CCR2","cDC2","0.378","0.557","0.442","0.646","0.61","0.104","0.171","0.914","-0.098","0.145","-0.06","0.077","0.008","0.028"
"CCR2","DNT","0.464","0.91","1","1","1","0.583","0.556","0.413","0.076","-0.225","-0.16","-0.002","-0.217","0.078"
"CCR2","DPT","0.076","0.625","0.646","0.442","0.114","0.13","0.114","0.114","0.062","0.15","0.275","0.026","0.179","-0.028"
"CCR2","GMDSC","0.359","0.846","0.913","0.115","0.476","0.371","0.73","0.019","0.154","-0.019","-0.007","-0.087","-0.245","0.142"
"CCR2","MMDSC_I","0.94","0.734","0.442","0.441","0.914","0.09","0.914","0.19","-0.171","0.046","-0.004","0.006","0.122","-0.047"
"CCR2","MMDSC_II","0.455","0.375","0.797","0.145","0.171","0.622","0.886","0.352","0.302","-0.063","-0.234","0.226","-0.59","-0.082"
"CCR2","MMDSC_III","0.644","0.232","0.879","0.574","0.114","0.879","0.61","0.067","0.08","0.039","0.045","0.048","-0.058","0.144"
